iter	RMSE
0	0.2926622744
1	0.2916337497
2	0.2905562672
3	0.2895427893
4	0.2878420811
5	0.2871136563
6	0.2855213413
7	0.284845975
8	0.2837665319
9	0.2821187663
10	0.2807639512
11	0.2793462078
12	0.2779411927
13	0.2771884588
14	0.2759717292
15	0.2749634011
16	0.2737559096
17	0.2729415231
18	0.2716647781
19	0.2706183537
20	0.2693711036
21	0.2677612591
22	0.2667287881
23	0.2658106048
24	0.264693105
25	0.2632847611
26	0.2620923161
27	0.2606300593
28	0.2595719461
29	0.2583791173
30	0.2574302319
31	0.2563364844
32	0.2549643536
33	0.2540272764
34	0.2529660772
35	0.2515041725
36	0.2505580424
37	0.2492255104
38	0.2480141334
39	0.2472484906
40	0.246110668
41	0.2451770077
42	0.2441673105
43	0.2430099057
44	0.2419563891
45	0.241187724
46	0.2399918492
47	0.2389735574
48	0.2377064403
49	0.2369634772
50	0.2360242392
51	0.2350332809
52	0.2345529766
53	0.2337686151
54	0.2329577047
55	0.232107131
56	0.2314690963
57	0.2302596988
58	0.2292449094
59	0.2278304155
60	0.2270672769
61	0.2262831254
62	0.2255943882
63	0.2249099573
64	0.2239276972
65	0.222712275
66	0.2220819335
67	0.2212032149
68	0.2201249631
69	0.2190041038
70	0.2185650404
71	0.2176943896
72	0.2168019297
73	0.2158355855
74	0.2151908857
75	0.2146299723
76	0.2134797733
77	0.2126644417
78	0.2118637281
79	0.2111086034
80	0.2105245019
81	0.2095488627
82	0.2087849605
83	0.2081789371
84	0.2072358269
85	0.2063585792
86	0.2055678316
87	0.2046706825
88	0.2041515238
89	0.203550746
90	0.2028757639
91	0.2019456265
92	0.2010391485
93	0.2005881727
94	0.1998802219
95	0.1987123379
96	0.1981919503
97	0.1976161894
98	0.1969609218
99	0.1959682454
100	0.1955158939
101	0.1947667763
102	0.1941335394
103	0.1934206298
104	0.1925998305
105	0.1921806318
106	0.1915860287
107	0.1905447129
108	0.1898140061
109	0.189167834
110	0.1888310824
111	0.1884744068
112	0.1875195321
113	0.1866165921
114	0.1859983758
115	0.1852969836
116	0.1839931971
117	0.1832930591
118	0.1825823921
119	0.1817125711
120	0.1811363193
121	0.1803438217
122	0.1796351312
123	0.1789532935
124	0.1781853052
125	0.1775526413
126	0.1769046192
127	0.1759081118
128	0.1751287971
129	0.1744150915
130	0.1737834958
131	0.1731356386
132	0.1723103411
133	0.171726491
134	0.1711294541
135	0.1707139771
136	0.1703159541
137	0.1696726957
138	0.1686247602
139	0.167990469
140	0.1671580354
141	0.1667829019
142	0.1660585479
143	0.1654389793
144	0.1647139866
145	0.1640913063
146	0.163370784
147	0.1627947525
148	0.1619401613
149	0.1613300096
150	0.1609423138
151	0.1603236042
152	0.1597118861
153	0.1590129915
154	0.1581765465
155	0.1576992635
156	0.1571419534
157	0.1563517633
158	0.1556139299
159	0.1548798867
160	0.154139872
161	0.1533601238
162	0.1527869693
163	0.152066195
164	0.1513915838
165	0.1506352913
